Date,Forecast
2018-12-01,405.4664238366201
2019-01-01,406.7021944137348
2019-02-01,407.64323178879107
2019-03-01,408.7217127663334
2019-04-01,410.2153182754114
2019-05-01,410.8551549294506
2019-06-01,410.249942399042
2019-07-01,408.56281157588364
2019-08-01,406.20046932234135
2019-09-01,404.32754342383674
2019-10-01,404.38652021531055
2019-11-01,405.92348011552457
2019-12-01,407.4821254365631
2020-01-01,408.72403941935335
2020-02-01,409.66975498828964
2020-03-01,410.7535974352511
2020-04-01,412.2546281288508
2020-05-01,412.8976456128958
2020-06-01,412.289424379931
2020-07-01,410.5939062968181
2020-08-01,408.2198200941345
2020-09-01,406.3375832896996
2020-10-01,406.39685327342295
2020-11-01,407.9414538865242
2020-12-01,409.5078477255228
2021-01-01,410.7559356547977
2021-02-01,411.7063526743927
2021-03-01,412.7955832443306
2021-04-01,414.3040760353884
2021-05-01,414.95029016234923
2021-06-01,414.33904526961794
2021-07-01,412.63509823083336
2021-08-01,410.2492096961296
2021-09-01,408.3576156983117
2021-10-01,408.4171803318358
2021-11-01,409.9694596422202
2021-12-01,411.5436405195081
2022-01-01,412.7979330879048
2022-02-01,413.7530749305538
2022-03-01,414.8477204095285
2022-04-01,416.3637123944866
2022-05-01,417.01313905588444
2022-06-01,416.3988554718195
2022-07-01,414.68643757436354
2022-08-01,412.28868803452104
2022-09-01,410.38769032575766
2022-10-01,410.4475510738798
2022-11-01,412.0075472547756
2022-12-01,413.58955388217845
2023-01-01,414.85008193491694
2023-02-01,415.8099720892072
2023-03-01,416.91005939644083
2023-04-01,418.4335878561597
2023-05-01,419.0862430225174
2023-06-01,418.4689056408248
2023-07-01,416.7479747733848
2023-08-01,414.3383052636025
2023-09-01,412.42785709507785
2023-10-01,412.48801542987707
2023-11-01,414.055766844284
2023-12-01,415.64563812607616
2024-01-01,416.9124326617175
2024-02-01,417.8770947330051
2024-03-01,418.9826509215442
2024-04-01,420.51375332221915
2024-05-01,421.16965304345416
2024-06-01,420.54924668274174
2024-07-01,418.81976052465626
2024-08-01,416.3981117870004
2024-09-01,414.4781661774954
2024-10-01,414.5386235783692
2024-11-01,416.1141687800012
2024-12-01,417.71194381386266
2025-01-01,418.9850359850719
2025-02-01,419.9544936960626
2025-03-01,421.06554595344255
2025-04-01,422.6042599475252
2025-05-01,423.26342035334415
2025-06-01,422.6399297567484
2025-07-01,420.9018457769667
2025-08-01,418.4681582589137
2025-09-01,416.5386679936509
2025-10-01,416.59942594735105
2025-11-01,418.18280368158497
2025-12-01,419.78852175956246
2026-01-01,421.067942873874
2026-02-01,422.04222006520706
2026-03-01,423.1587957141212
2026-04-01,424.70515914124536
2026-05-01,425.3675964415407
2026-06-01,424.7410062763513
2026-07-01,422.9942817323874
2026-08-01,420.5484955853593
2026-09-01,418.6094132148414
2026-10-01,418.67047321551087
2026-11-01,420.26172242033925
2026-12-01,421.8754230298126
2027-01-01,423.1612045504008
2027-02-01,424.1403251812344
2027-03-01,425.26245168020586
2027-04-01,426.81650256811815
2027-05-01,427.48223305336677
2027-06-01,426.8525279106497
2027-07-01,425.09711984753125
2027-08-01,422.63917492542373
2027-09-01,420.6904527642675
2027-10-01,420.7518163134772
2027-11-01,422.3509761204651
2027-12-01,423.9726989451188
2028-01-01,425.2648724915711
2028-02-01,426.2488606401721
2028-03-01,427.3765655842288
2028-04-01,428.9383421497238
2028-05-01,429.6073821913878
2028-06-01,428.97454658560645
2028-07-01,427.21041183481816
2028-08-01,424.74024769252173
2028-09-01,422.78183781828466
2028-10-01,422.8435064250701
2028-11-01,424.4506161603184
2028-12-01,426.0804010811165
2029-01-01,427.3789984302116
2029-02-01,428.36787829454755
2029-03-01,429.5011894159012
2029-04-01,431.07073006576115
2029-05-01,431.7430961166904
2029-06-01,431.10711448532436
2029-07-01,429.334209663747
2029-08-01,426.85176555566045
2029-09-01,424.8836198076622
2029-10-01,424.94559498856097
2029-11-01,426.560694173673
2029-12-01,428.1985812698407
2030-01-01,429.5036343563294
2030-02-01,430.4974302546636
2030-03-01,431.6363754233914
2030-04-01,433.2137187553309
2030-05-01,433.8894273501674
2030-06-01,433.25028405333035
2030-07-01,431.4685655621733
2030-08-01,428.97378044070985
2030-09-01,426.9958504188484
2030-10-01,427.05813369793714
2030-11-01,428.68126205099037
2030-12-01,430.32729160099933
2031-01-01,431.63883251839036
2031-02-01,432.6375688898797
2031-03-01,433.7821761146099
2031-04-01,435.36736091822485
2031-05-01,436.04642867380966
2031-06-01,435.40410799386444
2031-07-01,433.61353201759357
2031-08-01,431.10634453167967
2031-09-01,429.11858159524064
2031-10-01,429.1811745041729
2031-11-01,430.81237194069587
2031-12-01,432.46658442325474
2032-01-01,433.7846454246039
2032-02-01,434.78834682990015
2032-03-01,435.9386442585007
2032-04-01,437.53170951622224
2032-05-01,438.214153132004
2032-06-01,437.56863927317613
2032-07-01,435.7691617784365
2032-08-01,433.2495102720031
2032-09-01,431.2518655384639
2032-10-01,431.3147696165071
2032-11-01,432.9540762504614
2032-12-01,434.6165123455112
2033-01-01,435.9411258442142
2033-02-01,436.9498169660679
2033-03-01,438.10583288633865
2033-04-01,439.7068177743921
2033-05-01,440.3926540328376
2033-06-01,439.74393112082663
2033-07-01,437.9355078553599
2033-08-01,435.4033303658259
2033-09-01,433.39575470965343
2033-10-01,433.45897150372764
2033-11-01,435.10642764849365
2033-12-01,436.77712823820843
2034-01-01,438.1083268087982
2034-02-01,439.1220324526656
2034-03-01,440.2837952930339
2034-04-01,441.89273918240207
2034-05-01,442.58198494940893
